Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.0110008, 0.00370062, 0.00729875, 0.00401365, 7403, 70094, 469245
0.00900318, 0.00293306, 0.00606932, 0.00322494, 7809, 71417, 389049
0.00909018, 0.00256517, 0.00652415, 0.00357703, 7324, 69230, 361743
0.0753468, 0.00382847, 0.0194733, 0.0534135, 7076, 68151, 4.54633e+06
0.0114972, 0.00274885, 0.00874785, 0.00499852, 7808, 74113, 588186
0.0101152, 0.00269594, 0.00741857, 0.00414509, 7778, 73551, 477609
0.00904307, 0.00252157, 0.00652064, 0.00350417, 7114, 67590, 413649
0.00998805, 0.00289329, 0.00709383, 0.00391639, 7838, 72057, 480069
0.0109422, 0.00272414, 0.00821715, 0.00452345, 7746, 70864, 502086
0.00866574, 0.0029258, 0.00573903, 0.00277776, 7368, 67461, 332838
0.0627504, 0.0109558, 0.0169766, 0.0365558, 7858, 76105, 3.69443e+06
0.0116737, 0.00268113, 0.00899172, 0.00506305, 7683, 73069, 620412
0.0101533, 0.00276913, 0.00738336, 0.00408099, 7656, 71743, 506268
0.0103742, 0.00299483, 0.00737849, 0.0037484, 7188, 68349, 375519
0.00902179, 0.00324414, 0.00577678, 0.00304025, 7192, 67265, 337635
0.00803426, 0.00238263, 0.0056509, 0.00293314, 7067, 66808, 345999
0.00788423, 0.00257767, 0.00530591, 0.00271272, 7365, 69043, 323736
0.0512967, 0.00245982, 0.0180063, 0.0316298, 6977, 68500, 3.467e+06
0.011266, 0.00269645, 0.00856875, 0.00488971, 7754, 73282, 569367
0.0101193, 0.00268272, 0.00743588, 0.00409151, 7767, 73051, 475641
0.012628, 0.00409054, 0.00853641, 0.00456485, 7164, 69067, 397290
0.00850634, 0.00319999, 0.00530524, 0.00273442, 7630, 70733, 334191
0.0076956, 0.00264367, 0.00505118, 0.00250545, 7743, 71277, 303810
0.00741981, 0.00261067, 0.00480839, 0.00216354, 7697, 69871, 240957
