fsm, mapping, replan, sfc, mpc, df, total, 
2.75e-06, 0, 0, 0, 0.000480211, 3.133e-06, 0.000487019, 
2.44e-06, 0, 0, 0, 0.000341625, 2.199e-06, 0.000346521, 
1.39e-06, 0, 0, 0, 0.000330909, 1.717e-06, 0.000334293, 
1.548e-06, 0.0186241, 0, 0, 0.000381693, 1.785e-06, 0.000385306, 
1.889e-06, 0, 0, 0, 0.000335453, 1.548e-06, 0.000339203, 
2.154e-06, 0, 0, 0, 0.000355119, 1.59e-06, 0.000359203, 
2.349e-06, 0, 0, 0, 0.000495837, 1.958e-06, 0.000500401, 
3.728e-06, 0, 0, 0, 0.000940752, 2.935e-06, 0.00094791, 
4.131e-06, 0, 0, 0, 0.000593751, 2.263e-06, 0.000600912, 
3.549e-06, 0, 0, 0, 0.000713894, 2.385e-06, 0.000720289, 
2.188e-06, 0, 0, 0, 0.000536955, 1.573e-06, 0.000541103, 
2.052e-06, 0, 0, 0, 0.000350891, 9.91e-07, 0.000354105, 
1.993e-06, 0, 0, 0, 0.000335649, 1.666e-06, 0.000339565, 
1.916e-06, 0, 0, 0, 0.000339494, 1.931e-06, 0.000343579, 
1.504e-06, 0, 0, 0, 0.00031524, 1.299e-06, 0.000318225, 
1.946e-06, 0.0195258, 0, 0, 0.000350279, 1.452e-06, 0.000353857, 
2.418e-06, 0, 0, 0, 0.000500629, 2.742e-06, 0.000506226, 
3.402e-06, 0, 0, 0, 0.000734658, 2.673e-06, 0.000741224, 
2.426e-06, 0, 0, 0, 0.000593812, 2.149e-06, 0.000598731, 
1.825e-06, 0, 0, 0, 0.000454142, 1.392e-06, 0.000457616, 
2.867e-06, 0, 0, 0, 0.000357318, 1.974e-06, 0.000362466, 
2.764e-06, 0, 0, 0, 0.000350448, 1.63e-06, 0.000355111, 
2.009e-06, 0, 0, 0, 0.000268567, 1.964e-06, 0.000272958, 
2.827e-06, 0.00699447, 0, 0, 0.000469762, 2e-06, 0.000474876, 
2.35e-06, 0, 0, 0, 0.000272795, 1.676e-06, 0.000277081, 
2.969e-06, 0, 0, 0, 0.000411007, 2.327e-06, 0.000416912, 
2.739e-06, 0, 0, 0, 0.00038651, 2.02e-06, 0.000391634, 
4.513e-06, 0, 0, 0, 0.000396625, 2.189e-06, 0.000403734, 
2.464e-06, 0, 0, 0, 0.000288619, 1.1852e-05, 0.000303359, 
3.479e-06, 0, 0, 0, 0.000392868, 2.462e-06, 0.000399296, 
2.401e-06, 0, 0, 0, 0.000376734, 2.894e-06, 0.000382485, 
2.041e-06, 0, 0, 0, 0.000317837, 1.137e-06, 0.000321177, 
3.268e-06, 0, 0, 0, 0.000436941, 2.152e-06, 0.000442826, 
2.177e-06, 0, 0, 0, 0.000279967, 1.726e-06, 0.000284257, 
1.541e-06, 0.0181859, 0, 0, 0.000279212, 1.393e-06, 0.00028233, 
2.43e-06, 0, 0, 0, 0.000311941, 2.291e-06, 0.000316853, 
3.326e-06, 0, 0, 0, 0.00038893, 1.954e-06, 0.0003946, 
2.885e-06, 0, 0, 0, 0.000455312, 2.233e-06, 0.00046082, 
1.984e-06, 0, 0, 0, 0.000265642, 1.179e-06, 0.000268978, 
2.429e-06, 0, 0, 0, 0.000507187, 2.145e-06, 0.000512221, 
3.04e-06, 0, 0, 0, 0.000369128, 2.264e-06, 0.000374795, 
1.944e-06, 0, 0, 0, 0.000287068, 1.93e-06, 0.000291328, 
3.101e-06, 0, 0, 0, 0.000374631, 2.22e-06, 0.000380355, 
1.653e-06, 0.00660047, 0, 0, 0.000301399, 9.287e-06, 0.000312675, 
2.103e-06, 0, 0, 0, 0.000274074, 1.551e-06, 0.000278047, 
3.112e-06, 0, 0, 0, 0.000351335, 1.904e-06, 0.000356865, 
3.032e-06, 0, 0, 0, 0.000387853, 2.087e-06, 0.000393591, 
2.317e-06, 0, 0, 0, 0.000335814, 2.523e-06, 0.00034134, 
3.391e-06, 0, 0, 0, 0.000433933, 2.279e-06, 0.000440062, 
2.363e-06, 0, 0, 0, 0.000363402, 1.415e-06, 0.000367504, 
1.926e-06, 0, 0, 0, 0.00035654, 2.198e-06, 0.000360946, 
2.075e-06, 0, 0, 0, 0.000274272, 1.23e-06, 0.000277749, 
2.325e-06, 0, 0, 0, 0.000309562, 2.161e-06, 0.000314411, 
2.201e-06, 0, 0, 0, 0.000256043, 1.434e-06, 0.000259939, 
